Unnamed: 0,NOAH SAMSEN,sentiment,cluster
53,you know tom and jerry are best friends my closest friends try to murder mutilate and displace me from my home all the time man what rascals they are,5,1
54,objectively correct answer to the paying for dates question whoever asked the other out on a date should pay the end that s it you psychopaths,3,1
55,relationship are founded and based on trust not insecurities but i would love to hear why the alpha chad male who spit fact argue why my take is bad,3,1
56,that maplestory background music lol,4,0
57,okay i hate it when people act like women don t have it easier when it comes to sex or getting into a relationship i mean i hate alpha males they re dumb but women always have it easier when it comes to getting into relationships and having sex who basically who they want to if a woman sees someone they find attractive at a bar she is more then likely going to be able to go home with them rather then a man finding someone attractive and going home with her i don t care if a woman wants to be with 1000 men in one night but she more then a man will be able to do that,3,1
58,some of the criticism against women that red pill men talk about is valid women do cheat lie and abuse men when men come together to warn other men of these horrible women to avoid how are they now incels implying that any time a man criticizes a woman he s automatically a incel does not lead to any positive outcomes abusive women deserve to be called out for their horrible behavior and not praised for it,1,1
59,my wife made us dinner tonight i did the dishes does that mean she s going to leave me because she didn t submiiiiiit to me,2,0
60,he literally debunked nothing,1,0
61,i just smoke weed to deal with the crippling loneliness xd,1,0
62,you think these guys would still think their if i m paying for the date you owe me sex theory is still valid if they were out with their dude friend and he s like aye man drinks for everyone my treat and then immediately started unzipping their pants like oh well i m paying for drinks so you have to suck my cock what you thought i d just buy you a drink to be nice like why is it so hard to imagine that an interaction with a woman could be non transactional or for anything other than sex when that s how all their male friendships already work,1,2
63,the grown men realm sounds so much worse than the shadow realm and the phantom zone,2,0
64,this is literally what happens when you don t punish the class bully for several millenia,1,2
65,that wall is whiter than me,2,0
66,noah in the arcy,5,0
67,what is the red pill,5,0
68,honestly if your gf wont submit to you dont be her bf i could get like if you have hard rules have them no problem with that hope u find someone who likes that too then he whips out no male friends i was thinking more along the lines of i wanna top in bed lmaoooo,1,2
69,i m empathetic and caring but in like a hot and sexy villainous kind of way good job noah you just described every woman s true ideal man,4,2
70,taking it out of context and distorting facts this is your essence,5,0
71,2 4 tons on wren im just poor,1,0
72,dude stop being such a pussy the girl in the room literally said he has to pay so stop referring to your friend group and the types of people your around to negate his,1,1
73,i feel so bad for these guys i ve had some low times but i m glad i didn t go there,1,0
74,i think many of the red pill content out there are poor attempts to try to create a healthy public discourse for men s issues like the fact that june is only seen as pride month but so many people forget it is also men s mental health awareness month it seems like a lot of mens concerns are just pushed to the side or ignored completely and if we truly mean progress for all or progress for none well then,2,1
75,it s so weird that we all agree that society s rules for upholding masculinity suck and cause of lot of stress and anger but the red pill solution is to fully lean into these rules uphold them by any means necessary give these rules more power by taking agency away from women and attack anybody who questions these rules,5,1
76,real hard cold fact advice that will shatter the fake reality you live in girls don t ever date a man who wears a cap on a daily basis as shown in this video clearly proves my point he is hiding a receeding hairline he has insecurities and will be jealous until he eventually cheats on you because he is convinced you did it first no seriously why is first dude wearing a swimming cap,1,2
77,it s most likely a durag,3,0
78,the idea of change happening from within the oppressive system is so important the goal of healing is not to become ok with a shit system but to work to dismantle it i find a lot of men have done a lot of work accepting a bad hand or a shit deal and because they have gotten over it they think everyone has to also just integrate with the oppressive status quo it s kind like a sunk cost in economics they ve invested so much energy over the years into being ok with emotional unavailability that they prescribe this same journey to others as the only way out of self loathing,2,1
79,thats literally just how all people are bite of more then they can chew get tired of it and now they have a story some do and don t care to hear perspective and experience,2,1
80,if that heartbroken asshole keeps trying to force women to submit to him he s risking a vasectomy without anesthesia,1,0
81,i ll submit to a man over his dead body,1,0
82,my arm hurts,2,0
83,ohhh the paying thing can be so awkward i like to split the bill especially on the first date but some blokes really get offended as if i had emasculated them by wanting to pay my share and keeping in mind that a lot of the power men have over women is connected to women s financial dependancy created by sociaty on men yea maybe demonstrating your financial independancy does hurt their sense of masculinitiy i guess a very clear red flag immedeately settles the question if there will be a second date or not good filter,2,1
84,i feel your anxiety through the screen hot and nerve racking we need to relax geez,2,0
85,i m just here for the sarcasm and dry humor,5,0
86,can someone please explain the line about zelenskyy,1,0
87,as someone who s also living with terminal centrism i m really starting to dig this channel,5,0
88,i love all these cishet men that apparently know exactly what every human with a vagina thinks,5,0
89,research shows _consistently_ that feminists have happier relationships and more satisfying sex lives sources in comment below i can t link to the studies as youtube will bury hide it any comment with that many links,3,1
90,it s funny i m a anarcho leninist marxist,4,0
91,you completely took that clip 22 30 out of context matthew hussey had a discussion with the women in his seminar if the man had to pay for a date and the women said yes so they do expect it he s wrong with his point here but what you suggest here is not what he said and he s not a redpiller so he shouldn t be on the thumbnail,1,1
92,i actually enjoy that youre trying to understand whats behind their reasoning and explain why it s wrong i think that s gonna help more in making people see their bullshit than when you just shout at them that theyre terrible wrong dumbies,4,1
93,incell logic puts the fear in me,5,0
94,i see you youve played maplestory back in the day,5,2
95,hell nah my girl can t have no male friends and i won t have female friends cause if i m talking to a girl i m trying to smash,1,1
96,counter argument for the men should pay trope women used to not be able to get a job or obtain their own capital so they weren t really able to pay for dates so obviously the men were supposed to pay cause women didn t have anything to give that being said i like the the one who takes the other on a date should pay trope,1,1
97,you should also check out pop culture detective when talking about manhood and problems men face in society very enlightening,5,2
98,that rogan wow near the beginning of the video,5,1
99,first guy sounds like an incel tow mater,1,0
100,they want a sexual woman who doesn t have sex if she has sex before you she s for the streets but if she isn t good in bed she s a prude please make up your minds if she s to sexual she only wants sex and nothing else but if she isn t sexual with you enough she is cheating but at the same time you as a man can have sex and are entitled to it,1,2
101,i can agree with him not about the being straight part but women 333,3,1
102,the arabic memes at the beginning,3,0
103,tbh i agree with the overall sentiment of the video but i feel like you re showing a lack of understanding of the world,3,1
104,that clip between 23 and 24 minutes was really manipulatively edited if you watch the whhhoollleee clip the woman in the audience actually expected the man that she s dating to continuously pay for her for every date and said verbatim he should pay because he s the man the guy on stage was totally within his right to say if you don t offer to pay you weren t raised right if you don t pay that s fine but if you don t even offer to pay you clearly have full financial expectation on the other person not cool,1,2
105,second guys talks like a skyrim npc but with lower quality animation,3,0
106,hold on that blue pill for dear life,5,0
107,give you a lolly give you a lolly,5,2
108,agree with all this obviously what s wrong with no jumper,1,0
109,na man the tankie internet sphere is no longer that unified since those americans started to join fortunately i am on the global south so no problems we all hate the west,2,0
110,i love tom and jerry,5,0
111,could you react to some more of matheus videos i actually used to watch some of them when i was single but i don t think i learn a thing would be interesting to hear a woke man s opinion,3,1
112,are straight people okay,3,0
113,i m a cool guy just being a dude,5,0
114,i noticed a lot these channels only grow larger anytime anytime you make a video about them thank you,3,2
115,woah i never thought i d encounter the arab twitter fruit animals meme here,2,0
116,when men keep their feelings to themselves that isn t patriarchy by definition it doesn t oppress women in any way it s in fact anti feminist to expect women to deal with men s problems it s bad to share your feelings and insecurities it forces them especially women to do emotional labour go to therapy instead,1,1
117,thanks for the portland shout out i think,5,0
118,bro the editing is soooooo clean,3,0
119,i swear i would pay to see these black male alpha males never make another video they are absolutely insane delusional and disgusting like i m so tired of hearing their crap,1,1
120,no tom jerry saddest moment ever,1,0
121,great video,5,0
122,matthew hussey was literally on an australian dating show coaching women on how to date men,4,0
123,men marry who they want to because its the men who propose women have to wait to get a proposal so its a fact that women are never going to marry the one they want is that what he means,3,1
124,one of the many many sad things about guys like this is they don t seem to understand the concept of genuine connection with anyone or like imagine the concept of only having sex with people you want to have sex with,1,1
125,we should start the man cube,5,0
126,so women lead men on take all their money and that s ok,3,1
127,women play mind games 10 times what men do,5,0
128,bro all u fucking do is insult the creators u don t actually show any studies or any evidence that back any claims if u even made any,1,0
129,go back to playing marvel games baby boy,5,0
130,do you have any studies and evidence that support your claims,1,2
131,u a blue pilled beta white knight soy boy,5,0
132,this video is ignorant,1,0
133,yeah i m totally not gonna listen to all those guys and their experiences and just listen to this one guy men stop being slaves,1,1
134,yea cuz they re bozos you should understand that what their saying is stupid no one should have to point it out,1,2
135,did the first guy really say no big bro what in the sweet home alabama is this,1,0
136,dudes thinking i will owe them sth if they pay is the reason i will never let a date pay for my food or drinks i will fight tooth and nail to not let him pay lol that s one of the perks of dating foreigners i just quickly tell the waiter in estonian that we ll pay separately d buuuut there s the aspect of pay gap in estonia with many couples the woman simply can t afford to dine out so the choice is either he pays or they don t dine luckily i earn well for local standards so can afford to have principles lol,1,1
137,you clip your fingernails so short,1,2
138,wow that first dude has deep insecurity written all over him these dudes are going die alone or with someone they manipulated into a relationship and subsequent marraige,1,0
139,don t care more than she cares paraphrased why how what why hasn t he imprinted on her so she s trapped by her biology you got to imprint on her he told you two years ago damn don t care more than the b h does what is wrong with you this man without qualification or solicitation spitting some fire advice fire like arson like arsonist advice like a good way to burn your life down advice,1,2
140,men masculinity and love is a fantastic book,5,0
141,get yo g work on your,5,0
142,good video big mgtow guy here to wish you all a wonderful day 10 39 thanks for the warning yes everything bad is mens fault and the patriarchy if a woman supports that culture they are victims if men do they are oppressors and fully to blame women can never be blamed for anything because it is always a man s fault,4,1
143,any woman you re dating needs to submit assignments or she s not for you,1,2
144,gotta say i respect a man who can pull off a mustache most guys these days can only do it as a temporary goof novelty thing but you really do it a service,4,2
145,i know it s one small part of the video but i want to chime in on the who pays for a date question my view is automatically split it and if not whoever does the asking pays if i ask you to dinner i m paying if you ask me to dinner i will be prepared and expect to pay for my own dinner but am anticipating that you re planning to pay for dinner not that i expect nor require you to pay i just think it s on the person who does the asking if it s not split,2,1
146,wow matthew hussey really shit the bed on this one comparing paying for dinner to having sex on demand every time also sex workers charge more than an average dinner would cost,1,0
147,the main problem with the red pill is there is no grey area with them they think purely in black and white everything is a middle ground thing,2,1
148,the thing about men not being able to express their feelings is so engrained that many people choose to believe it out of comfortability of that women as it might be easier to ignore things men because they re used to that it s like a comfort zone thing my dad is smart and my older sister too though they still snark at the idea of nature vs nurture and believe that men and women are born so different that men naturally are supposed to be strong providers and have to hide their feelings blah blah they even say that men feel less that women in general and if i say something about that they just say that it s feminist s propaganda and that it s ruining masculinity of today i just can t,2,1
149,21 10 or maybe it could be every other or just pay for what you bought if you feel weird having them pay just offer to split or cover next time it s literally that easy me and the person i ve been seeing are both nonbinary and we ve been either splitting paying the next time or if i drove for example they paid and vice versa super easy,1,1
150,dude you played saturn bomberman,1,2
151,who pays for the date whoever s idea it was to go on the date,1,1
152,i ve been with my wife for 11 years but i d rather be an incel than a cuck like most heterosexual in gen z the rarity the hetero is in gen z that is,3,1
153,she can t have male friends i suspect all males of doing what i would do hanging around non romantically interested women pretending to be their friends in the hopes that i can smash someday when she s super vulnerable who should pay for the date everybody pays for their own food therefore none of this a date is actually delayed prostitution sh t can be pulled and she s obviously a gold digger because she insisted on the fancy restaurant thing wouldn t happen,1,1
154,god i m happy i m not a straight girl when i hear those red pilled alpha chads talk,5,0
155,i saw you first on tara mooknee s channel and am now a fan and subscriber you are hilarious and very intelligent thanks for the premium content,5,2
156,i would only think the man should pay if they are the one asking the person out if you re wording it like hey i d love to take you to dinner sometime and then want to split the bill i could see how that might be taken the wrong way hey want to go out to dinner together just doesn t sound as nice to me maybe because i want to be the one who pays though as i like doing nice things for others that said i m married now and we generally still do whoever suggests it pays if i mention i want chinese food i pay she mentions she wants sushi she pays works for us we like being able to do nice things for each other there is no gender role bs behind it,3,1
157,you rule bro this video sincerely reflects many of my pov regarding the trend that is happening in social medias,4,0
158,someone needs to send these incels some sex dolls because no woman should have to deal with this shit,1,0
159,0 04 actually i m using operagx how dare you j,1,2
160,i laugh at misogynistic cishet men using the red pill blue pill matrix reference bc they dont know the matrix was about being trans im pt sure the creator confirmed it too,1,0
161,you had mathew hussey in your intro how is he red pill i could see how that one video seems a little harsh but he gives dating advice to women i d be curious to see you deep dive into him i found him helpful in giving me confidence a few years back,4,2
162,this video was good and i liked it,4,0
163,oh shit im dying you are funny as hell thank god u exist,5,2
164,you are my true hero noah samsen i was going to write this huge long comment about how much i am thankful for your videos about exposing these issues but then i got embarrassed and deleted it all because nothing i say sounds good right now but thank you so much,5,2
165,once again you roast these people don t say they are fundamentally wrong because they are factually correct but just make fun of the communities they have formed to help each other what is your solution to men getting no female attention should they just continue to be themselves,5,1
166,are we watching the same video bro,1,0
167,no you should better yourself in productive ways that dont involve hating women like idk hitting the gym taking a shower starting a skin care routine getting your life put together,1,0
168,the way i always deal with the who should pay for a date is with these steps 1 only go out if i have enough money to spend 2 order food that i have enough to pay for myself 3 offer to pay for the food when we are done 4 fight with the guy about who is going to pay 5 be the fastest one to hand the money to the server,5,1
169,its really weird how these guys who always want full control over their partners are straight up openly looking for abused people to be with just so they can abuse them more because they know they ll be easy to use,2,1
170,off topic but you look like an older kit connor that has a moustache and long hair,3,2
171,talking about healthy relationship dynamics when you constantly say women do no wrong please tell me you had a single mom at least then it would make sense christ you are pathetically dense,2,2
172,when does he say that,3,0
173,look at this fancy boy arc trex windbreaker they will survive a nuclear apocalypse so i ll file it as practical,5,0
174,as to who pays for lunch it s whoever invited the other person or split the bill or whoever didn t pay last time or in my case whoever got paid most recently,3,1
175,hope she see this bruh,5,0
176,i think it s not that hard to think if i ask someone on a date then it s assumed i pay or i should clarify before said date that it ll be split my partner pays some dates and i pay some other dates and sometimes we ll split also yeah using someone s body is different than two people going on a date double standard double standard would be the woman asking a guy on a date and expecting him to pay in full,3,1
177,holy shit how have i never looked up your channel before from noel s stuff right up my alley and i swear you are just as funny if not funnier than noel don t tell him i said so he is scary,1,2
178,more simping with no explanations or data,2,0
179,redpill stuff is so quietly pervasive in the dating world and it s really easy as a single and dating woman to get sucked in and spiral whenever i m reminded how many men out there feel this way the bit about men will only marry who they want to and women will only marry who they can def is hitting me in the i can t find a decent guy to commit to me which means i must be unlovable and will never be worth committing to core belief it takes effort to return to a baseline of remembering that there are guys out there who aren t shitbags it s just that this sort of stuff gets platformed by young and clueless men who honestly aren t likely even being faced with the choice of having multiple women to decide on marrying anyway edit having watched on some you re right about the who does this help what purpose does it serve question i think it s the emotional version of just work hard nerd boy and one day you ll be the boss of those guys that bullied you in high school yeah she won t have sex with you now but you ll get to turn her down for marriage once she s old and dried up,5,1
180,on my first date with a cute lightskin girl i was paying for almost everything until one point she said who ever pulls their wallet out first is paying she ended up paying for the rest of the night,2,1
181,what s the first guys accent,5,0
182,this video feels over stimulating,1,0
183,i think an issue is assuming that the red pill community is speaking about all women some are but some aren t and some make good points delivery is not great though,3,1
184,wtf is that first guy s accent is this a bit,3,0
185,lmfaooooo why do i laugh so hard at your content you hit that need for an intellectual commentator that doesn t take his work too seriously bc your job is expressing your opinions on youtube love it subscribed,1,2
186,can i have the name of the fruit animal video plz it s for a friend,3,1
187,umm the bible says for women to submit buddy not every man or women is worldly in any situation you need a leader and a second in command your definition 9f submission is subjection not submission,1,1
188,not everyone is christian,1,0
189,you know how you find guys well when you do that can you also point in the right direction for the guys who follow those guys try making a video like that i know you brought up that one subreddit before make something with that,3,2
190,the animal and fruit jokes at the begging caught me off gaurd,1,0
191,i ditched one of my best friends who happened to be a man because my boyfriend at the time could not handle it accused me of cheating with him constantly i regret it to this day i m sorry scott,1,1
192,i always feel the need to bring this up when discussing redpill bro content but casual reminder that the red pill in the matrix was red because that s what estrogen pills looked like at the time and the directors are trans women who said the matrix movie was a transgender metaphor,3,1
193,17 40 my guy is playing a worship song behind his redpill alpha bro advice so that s something it s oceans by hillsong the megachurch i grew up in was obsessed with it,5,0
194,by these guys own logic would it not be more manly to be able to face heartbreak and other various emotions and process them rather than to hide their feelings like are these dudes really admitting to be cucked by their own emotions i dunno seems pretty weak to me,2,1
195,the tom and jerry thing is aave btw,5,0
196,i ll never stop finding it funny that incels chose the term red pill to describe their aspirations to toxic masculinity in reference to what they didn t know was a thinly veiled metaphor for estrogen pills in a story that is itself a metaphor for being trans,1,1
197,i always went with whoever asks for the date pays at least in the beginning then go halves or take it in turns,2,1
198,some of this music is the celeste soundtrack forsaken city sever the skyline mix at 1 20 and 11 24,3,0
199,ayo fat joe with the barssss,5,0
200,love these videos laughed all morning teaching emotional intelligence to these boys is god s work thankyou from this woman,5,0
201,manosphere heads complain about women not wanting to let a man provide then make us pay for our own meal anyways lol,1,0
202,ok but why is his nose soooo flared and whyyyyy is he talking like that shotgun barrels with a weird ass forced accent,3,0
203,reading the comments i m really glad i m not the only one who believes that whoever pays should be whoever invited the other to go on a date,4,1
204,thinking about the gender roles of who should pay is so interesting because even when i m the one paying i hand the card or cash to my boyfriend and he does the actual transaction for me and i ve never given that a second thought i was just like yeah ur the guy so u pay the person but i ve never thought of it as it always has to be his money that s so interesting to me,5,1
205,dude the youtube algorithm s reaction to watching some of these far right con artists is frightening you are bombarded with all manner of all right grifting from politics to incels red pill to strange alternative history essays that excuse the actions of various autocrats etc alt right pipeline is real and robust in 2022,5,1
206,misogyny is cringe yo noah samsen 2022,1,0
207,being for the streets is usually a cheating woman low class woman,2,0
208,my man s got the arc,5,0
209,ugggghhh i hate these men who want women to submit i am literally the most submissive person ever but i will spit on you btch,1,2
210,if i asked a girl out on a date then i would pay but if they asked me out and they expected me to pay then that s just plain rude,1,1
211,there may not be many good places online to discuss and understand masculinity in a healthy way so maybe everyone should watch our flag means death maybe just a little bit so they can think and calm down some please im begging,3,1
212,love the video man,5,0
213,sometimes you comment because you enjoyed a guitar hero reference because you found it humorous and want to engage with the creator,4,2
214,i feel ways about this im just gonna say thank you for existing noah thank you v many,5,2
215,this is only my second clip of noah so i might need to see more to have a better conclusion but so far i feel you have the best intentions of wanting to shed light on the problems the manosphere seems to have especially the relationship misconceptions with women i applaud you for the effort i ve watched red pill content but always with a grain of salt as i could never agree with everything they say or their approach to relationships they do however bring up some of the double standards and unfair expectations society has for men to which i can confirm from my own experience that being said looking through the comments it seems despite your best efforts to bring a healthy light on some of their problematic issues the praise of your positive intent is a bit overshadowed by the glee of bashing the subjects of your analysis not your fault at all but the comments very much resemble the comments on some of the redpill content creators i ve watched youtube is full of echo chambers so this isn t surprising but folks that watch seem to have their hate of the content creators validated and then basically high five each other and go yeah they suck collectively its all just the same stuff a group state their beliefs and ridicules those that don t share their beliefs then another groups responds and ridicules them back and vice versa i still will watch more of your content cause you re funny and have good critique just don t know if your audience will lean more pro positivity or more collective bashing not that yt has any shortage,4,1
216,make your woman submit huh well guess what redpillers im dating a femboy parry this you fucking casual,1,2
217,noah s comedy here is really top notch it feels like a step up idk why,5,0
218,dude saying we gotta care less than she does looks like he s about to cry this man is hurt and needs help,1,0
219,to be honest i used to act quite similarly to these lads till one day i just decided to fix up i guess i started training and got myself a good job that i enjoy got a lot more confidence in myself then soon after i suddenly had women being interested in me funny that,3,1
220,i appreciated the nazi zombies reference noah,4,0
221,cut the sex off and he ll run out of things to say no more whining,1,1
222,weird how mad some fellas in the manosphere are about holdovers from the good old days they re advocating for,1,1
223,bruh really now redpill tiktok that s legit complaining the trash stinks in the heat few things good come from tiktok on a good day when you re looking for trash you re gonna get trash hell being explosive meme able trashy is how people get views it s why people wanted the site as a whole taken down besides of the whole data mining tiktok is brainrot since it is made to hit you with a deluge of content and keep hitting you with it,1,2
224,noah is the compassionate leftist that we all need to be more like,5,1
225,why do half of these alfalfa boys feel the need to yell at the camera,1,1
226,every time a red pill alpha male talks about evolutionary psychology or gamifies dating women it gives me this weird feeling inside like men think women have this internal monologue constantly running telling them how to act around men what to do what to say instead of y know having normal thoughts of a normal person like any time a man talks to me my brain is running all these calculations about how much money i think he has and whether he ll be able to produce strong children or whatever the fuck it s just weird,5,1
227,i m new to your channel and was just feeling out the vibes for a few videos but man that tankie joke got me okay i m in,3,1
228,in the long run men are gonna marry who they want i m reasonably certain an overweight middle aged unemployed obnoxious dude is not gonna be able to marry a 22 year old supermodel also these guys are obsessed with marriage i get it but its kind of weird,3,1
