,SHNECKO,STEPHISCOLD,RUSSELL BRAND,TOM SCOTT,NOAH SAMSEN
10,what a king you re my only hope for your gen,never ever believe anything a woman says the exact opposite of what they say is what they want,hey when you do interviews can you pull the shot out abit there s a lot of move movement and camera switching i ve smoke 2 blunt and 8th of caps fam i m trying to keep up but i have to close my eyes dam near,how does it stun the fish but kill a person,the patriarchy oh boy
11,need to make a first day out song,it pisses me off that women choose the men who are assholes toward them who ll abuse them and shit like that instead of dating a nice guy i ll never understand why some women are like that this generation of dating sucks since when did it become a bad thing to be too nice to a woman if she wants me to change ha good riddance another thing that pisses me off is the term simp who came up with that lame word anyway i bet some immature little boy,nobody wants to listen to peterson thanks,they should add a huge dry dock and recycle the water they use to fill and empty it,was that maple story character select music 1 10
12,yo i can contest this view the cause of the endocrine disruption of modern day and age are not phytoestrogens we ve been exposed to those for the whole history of humanity they re present in all plants not just soy the cause are synthetic disruptors like bpa i can explain the mechanism scientifically educate the public and provide sources for everything i don t do youtube usually but this is important enough if you re interested for collab let me know,i wish u did videos for women cuz u for sure speak straight facts i laughed a few times watching this bc a lot of it is just true esp the part when u said after a break up the girl goes to the guy shes always lusted over cuzzzzz yea i like watching these videos to see how yall b thinking i just like learning about human psychology in general and the way the mind works you should think about doing a channel for women too we need you too,great your name suits you,they playing real life tower defense out here,it soo funny to see everyone glance over the actual positions and merits of the rp philosophy and completely disregard the reason people are drawn to it in the first place in this community what is idealized is the nuclear family and a marriage with a young woman who is able to create a large family while that marriage lasts a lifetime if one is going to happen at all these men idealize and want to become the gentil patriarch or heroic artisan are also probably religious conservatives and capitalist s if you want to make a video about dissecting rp or manosphere go over the people like rollo tammassi patrice o neil alexander grace tom leykis some simple truths dating for most men is trash especially in the modern age i e demanding traditional male role while not fufilling the traditionally female role social media expands dating pools exponentially in the past everyone would be out and about not glued to their phone giving more opportunities to the average man men s sexual thirst for women on the net is mostly at fault here why date one average guy when you could have 1000 s of simps paying 5 a month to see ur puss puss average man by modern standards cant support a family let alone a woman s ever growing expectations 5 7 5 8 42k yr 39 waist one of the most common statements is that women prefer men who make 1 5x what they do minimum disregarding the ones who say 100k only or 250k or other dumb shit housing prices are also so high that in most cities 50k a year wont qualify you to purchase a house something essential for building wealth and establishing a family they say women want it all but most men would be satisfied being happy divorce is initiated by women 70 80 of the time and even more if college educated women wait to meet winners at the finish line ever since school age the men who where most desired had things wealth or looks while the rest got as close to 0 attention as humanly possible once we achieve and grow we eventually become a preferred choice after being disrespected for decades then you expect us to accept children out of wedlock and want guys to pay for all your kids macdonald s the system is designed to be played by a 2 person team and there are hardly any teammates available if 2 people made 80 100k and were willing to move to a less desirable place a family unit could easily be established theres still 50 100k houses for sale in america women don t do their part in reducing costs of building a family and instead want to compete for the breadwinner position and in doing so only increase the expenses a family must put out to cover a 2 working person house hold the whole point of a breadwinner horseperson is to make the breadwinner able to work more because one simply cannot work 60 80hrs and do home stuff and home stuff like cooking diy improvements childcare management housework are all significant causes for expense that can be mitigated through one person dedicating themselves to reducing those costs ex i could go to a restaurant and spend 50 on one meal but that same 50 in the grocery store could feed a family of four for 1 2 meals same with child care its likely going to cost 60 80 of a persons wage to cover child care without government funding most household tasks can be done simultaneously giving more personal time than would be possible in the jobs most breadwinners would take one of the most common complaints on this subject is that homemaking doesn t pay yes and no yes because it doesn t pay you with a check every 2 week but if you took his last name 50 of the equity is yours no matter what while childrearing also provides you with a guaranteed income post marriage if you decide to leave for any reason valid or not competition for the breadwinner position also increases the workforce which in turn stagnates and reduces wages due to supply and demand women s financial support has a time limit while men are expected to finically support their partner and family for the rest of their life weather they divorce or not alimony child support which is almost always awarded to women through the unjust family courts everyone says till death do you part but wont follow through with the decision and contract they brought into existence of their own free will were all adults here nobody was tricked or forced even in arranged marriages the women and their families have the power to decide weather to follow through or not 1 5 men men who have paternity tested children find out they are taking care of kids who their wife made them believe was their biological child and is not women do not usually face charges for this type of fraud family courts favor women tremendously men in need are under supported and left to rot hardly any men s shelters or safe spaces for men women regularly have random sexual escapades with many guys in their young years demand almost nothing of them then wait till the eggs are almost dried up to find the supportive family building type of guy then have a long list of demands for him to meet and deal with because of the trauma she obtained in her younger years all while the supportive family type of guy was toiling away working and learning how to make a larger than average amount of income probably at the detriment of his sex life
13,i had a youtube channel based on shorts about andrew tate and it got shut down outta nowhere and i had no copyright strikes spread the word,love you dude not in a gay way though,love your daily vids i have a fun game i play mainly for fact checking and trying to disprove my own ideas 1 i cannot find is which mps have been vaccination no results mmmmm,turn up the volts and kill them they will get in it s not like we want them just like the hogs in the south,1 09 dude it says strawberry morning in arabic
14,they tryna take you out my boy,u gotta take the opposite of what they say it s the opposite game with them they can t say out loud what they really feel bc it makes them look cheap and easy,omg please marry me,when he was talking about the different defenses they were looking into i was like well dont make it public the fish will find out then realized im stupid,guys who subscribe to these red pill gurus for advice on women should rather go speak to a psychologist
15,we re back,man g knowing how to maneuver w the game to make sure you win at all times is the best advice i could ve ever got,listen with intent of understanding beautifully said and so lacking today thanks for that phrase stealing it,mao and the sparrows damn no one studies history anymore,10 45 is he quoting a woman on how men should act that is as bad as a man telling how women should act i prefer robert bly in his book the iron john he discusses the masculine spiritual crisis that our society was going towards and is where we are right now it isn t the patriarchy it is a spiritual issue which even women struggle with
16,we re back,mannn you been helping me,thanks a lot for bring up a link to this past interview in it s entirety i really enjoyed that great mind opening conversation you had there this was spot on,power outage enters chat,restraunts should be free if you solve their riddles three
17,sneako keep that energy ps lasan fears the candyman,this only 23,russell you seem to nail everything i listen to you talk about you are not given enough credit for your intelligence wisdom beyond your years,this guy is bluepilled,and until then dine and dash
18,ily no homo,we need your knowledge and the reminders of what we know deep down already bro never stop,like watching your older brother deep in conversation with your father what a legendary combo thanks for the top quality conversation russell,that is not taking evolution in consideration in a few generations there will be electrician carps neutralizing this barrier,i thought red pill tiktok was gonna be about topics such as wrongs of lgbt rights vaccine bad or vax is good but not entirely good praise of capitalism and actual politics i mean i guess this is part of it but i see this more as alpha male tiktok than red pill tiktok
19,trying to full kevin samuels and andrew tate shoes smart move mature it up a bit and you could be big big,it s simple women think backwards that s why they like it from the back,we have to disagree highly with peterson s assessment that masculine traits are also being suppressed in females many female characters in movies tv shows comics and video games have been de feminized which means their masculine traits are being emphasized not suppressed not sure why peterson doesn t know this maybe he isn t paying attention or why russell doesn t push back against peterson s false assertion maybe russell isn t paying attention to pop culture either and furthermore the evidence for this masculinization phenomenon and the socialcultural commentary related to it is all over youtube so there s not far to go to notice it it s right in front of your face,sadly they will end up making it into the great lakes an entire run of rivers and canals decimated for other native fish because of humans,if you watch enough work out content on instagram it starts feeding you the sad boy gym content it s actually really sad the men making the videos do seem genuinely lonely and at least they ve found exercise as an outlet the absolute dipshits commenting on the videos take the legitimate usually innocuous loneliness and make it something so toxic
20,sneako i know your not going to see this but your our last hope you need to take the crown and lead the last of us to victory of these feminists and bring back masculinity your our last hope pit on your crown and grab your sword and be our leader and lead us into battle thank you the king of masculinity,because their basically just being used to attract more girls like a porsch or a fancy car,always had a good feeling about you man good to know i was right keep up the great work,be thankful aliens haven t decided humans are like these carp an ecological disaster,well women take all of the risks when dating men and there is a huge pay gap produced purposely by females so men should pay
21,keep up the grind my guy,that may be true but a lot of times aren t women basically k wasting their life by being with toxic males,toxic masculinity is a better definition,they are already in the great lakes i worked on lake erie for years and they were there the bigger problem is the fact that detroit and various other industrial city s dumping toxic material into the lake causing massive dead zones,well screw bell hooks another fauxmenist not a feminist for saying poor men don t get rewarded for their feelings because women don t get rewarded for their feelings either men don t deserve rewards for expressing their feelings this is what nice guys expect when guys believe if they are polite to women they are entitled to having them
22,fresh home,all u hear a lot is toxic imma grown ass man tf i look like playing emotional games i got better stuff to do,love ya brother,a few weeks ago there was a silver carp that got shoked by the dnr above the electric gate not saying they are taking over but it may happen if more get through,oh no matt hussey is on this he seemed cool in a interview about his date coaching
23,king king king,you ll never win then g,yes good job hey hi,they should add some sharks to the rivers i m sure that won t cause any long term issues,idk i think the person that asked the other out should pay they planned the date and decided how expensive it would be then you can do the you can plan pay for next time
24,they hate to see it,this video unlocked my brain,you two have wonderful chemistry i get a lot out of it,spinosate box wormdead,i will read bell hooks soon
25,tate morpheus sneako neo,i m the guest star in the soap opera where your girl cheat on you,russell this an old interview why are putting up something we have already seen i can tell because you both look different than now plus your beard which i love is not grey in this old video your grey beard looks great grey is beautiful,spinosate carp in mississippi,15 12 gotta love the cod bo music in the background
26,let s get back to ittttt,what s the name of the intro track,jp 2 54 men and women are more the same than they are different rb 3 40 one of the challenges that this argument appears to be built around is a sort of hierarchy masculinity being synonymous with power rb 7 02 what is the terrible mother jp 7 04 overprotection jp 7 34 this is part of the devouring mother archetype jp 8 14 you see it in disney movies all the time in the little mermaid ursula is the devouring mother she s the witch she s the swamp dweller she s the evil queen rehashing the prevalence of mother bashing archetypes what about masculinity what about masculine archetypes the bully who threatens intimidates beats punches kicks and screams his way through life the controlling father who procreates in order to command his offspring to control their life paths who uses fear mongering tactics to weaken them enough to do so the family business dictator who expects his children to take over the reigns to help support his retirement near him the father step father uncle grandfather priest minister boss who think vaginas and other orifices were put on planet earth for the taking so they do take even when the answer is no the male kidnapper who locks up children in the basement for years without responsible equanimity of discussion you re just another male tag team building another word wall to bolster the masculine status quo same as it ever was,need to electrify the rio grande asap,how can you actually be sponsored by these pieces of shits
27,yaaas queen u go girrrl slaaaayyyy,lmao you re right bro,4 25 yes yes yes 10000000 times yes,obviously great pains are made to negate the human interference of introducing the carp this too seems like great costly pains,who pays for the date the one who asked or go dutch
28,yes sir,me here watching this video to find red flags and never date a guy like that,thank you two of my favorite minds and mouth,hello rio grande,welcome back to the white knight show with you host noah samsen who is also a weasle
29,free my mans,i believe in patterns not words if it walks like a b dresses like a b attitude of a b it is a b,i wouldn t but thanks for the invite,if asian carp was more like halibut or even cod there would be no problem at all,i could imagine how difficult it is to wonder about whether or not my partner is sleeping with one of her friends but that would require me to have the mindset of teenage me and fuck that guy
30,w s in the chat,i got it 7 48,now you see why we love jordan peterson,tow a light low wide barge behind the a fast boat and all those fish will just jump in,id take mens lib with a great deal of salt it s very much not a space you want to go into if your a male victim of abuse or rape it s made very clear they do not care
31,welcome home my g,as of 2021 march 18 women are now admitting to liking toxicity i just i had one tell me straight up,this is epic,they should shut the canal off completely the risk reward is way too heavy on the risk side,matthew hussey is so far from being a red pill or even of these toxic people you have on here his main focus is on taking back power i don t think you ve researched enough about him to put him on here he s a dating coach and most of what he says has merit i haven t seen anything from him be toxic so gtfo with your portly researched analysis
32,someone is gonna take this out of context,they arent good ppl and they have to hide it then no,the evolution of russell from in my opinion being insufferable a few years ago to this shining person of calm wisdom is truly amazing one of the few people who i do not always agree with yet always has a valid opinion to consider congratulations russell a good man has been made,gotta start eating them,that last clip was actually about a woman who s boyfriend wanted her to start paying for stuff and she didn t want to not about first dates not about men being required to pay
33,welcome back man missed u,steph the mannn,in my opinion jordan holds no value and never will,and what bout fishes,loving too much can be quite a bad thing even if you have the best intentions i guess you ve never read of mice and men
34,we missed you brother,no point of dating of getting in a relationship,russell don t know why but i all ways think u sit there on your own talking to your self very deeply in conversation why looking at your self in a mirror lol am i rong,cool but with how close it s been already i feel like it s going to happen eventually,the whole reaction genre on youtube is problematic and is founded in insecurity start here
35,why did sneako get suspended,what she complains about is what she love copy dat,yo russel when are you going to have teal swan on your podcast that d be cool,they should use big long nets also string them across the river in a few different places,loving too much is quite a bad thing even if you have the best intentions i guess you ve never read of mice and men
36,thought you were moving like you said in one of your vids so i didn t even check to see if they fucked with you glad to see you back man,cold truth from steph,talk to camille paglia,there is no possible way to kill off these fish now that they have been introduced right so from now to eternity we will have to do things like electric barriers because people couldn t just keep their hands off nature and not introduce an invasive species,this is so many flat out lies in this it s typical liberal fascism keep championing the people that fought for slavery
37,i love sneako,dad girl s want alot of things and it s disgusting son love dad the fuck no shows son a picture of what female s want son,what about feminity if we returned to the mother we would all be better off looking for the male to provide anything other than a method of procreation is ludicrous,what if instead we utilize how they jump out of water from being startled,25 13 they still weren t raised right what s your point
38,stay funny but be careful take brad martin advice to heart don t cry like him though work around the verbiage a little you are the revolution a bit of advice when you debate don t use phrase like don t you think then follow up with why not when you use this phrase you already lost in the eyes of the viewers regardless if your statement is true or not what you have done is give the respondent an opportunity for a statement which could be bs but that doesn t matter,is true yuh cold fi real bumboclaat star,how old is this snippet of debate am i wrong in feeling something like dejavu,it will be some pud fisherman with a bucket full of canal minnows for bait to fish lake superior that s going to get this environmental disaster started at the end of a days fishing what s left in the bucket gets tossed into the lake and were off to the races mark my words its not if they get into the great lakes its when and it will happen,23 58 well it would also be a nice thing for a woman to cook and yes many women do demand and say men have to pay what planet do you live on ever heard if he doesn t pay on the first date there would no second date bruh why are you so fake
39,happy for you,ive literally lost faith in females at this point,trust you to have a man bun whilst talking about masculinity russel,im from peoria and i didn t know this,just personally if i m the one asking someone out to a date then i m paying for it unless they insist to split it the same goes the other way around
40,you speak the truth sneako all these young people need to listen to guys like you and remain unplugged just be careful because sooner or later they ll try to cancel you they always silence the truth,can anyone let me know what was the song in the start of the video,when did this interview happen,broski are you meaning to say trucks are worse for the enviorment then a few fish,i m a women and i split the bill on the first date so my girl friends maybe you are the problem
41,glad your back do your thing we got nothing else,bro this one girl told me i know you got hoes she said as long as she is the favorite its fine,please do a video on event 201 thank you,that s what we need at border with higher output,omg the fruit animalllsssss the arabic words are actually wordplay of the fruit and animal and it s so cute omg
42,happy your back,i m naturally toxic and i been having a chick in my rotation for 2 years she just keep coming back after i dog her out,ain t you gay russell,why not place a bounty on the carp and use fishing licence taxes and other funds to fund the bounty per fish amazing how fast something can be wiped out or at least reduced to a more manageable level when money is involved,i kinda like the strawberry elephant
43,where does sneako stream cuz i cant find his streams on youtube only parts of the stream like this video can anybody help,i used logic on this woman and she got all up in her feelings and called me bad,now i m confused i paid the sign up on luminary just so i could hear your podcast and i found that luminary sucks other than your podcast there are no other worthwhile podcasts on there what s the bottom line here where should we subscribe to hear your full podcasts going forward,they really should just close the canal most of these goods can be loaded on rail cars no congestion eventually something will get through and the lakes will be ruined forever,if you need to cut out your partners friends it means that you don t trust either your partner its friends or both why then why would you date someone you don t trust with friends with wouldnt trust
44,freedom of speach strikes again are u on rumble,___,how refreshing ive 3 grown bought up alone all flew the nest doing very well extremely independent agree as 1 daughter is pro footballer across the pond and another 1 coming up the ranks would love to get stuck on a lift with you two,3 32 duck goes under in the background and never resurfaces,5 11 mista steal yo gurl
45,let s go,who hurt you,such a guide you have became this was a beaut,simple solution get rid of the fish and free fertilizer build buoys that ride behind the boats that are like 20 feet of putting nets in between them drive the boat up and down the river does the fish jump out of the water they land in the net behind the boat as you see in every video jump from the sides landon the nets you catch hundreds of carbs by driving up and down the river not harsh come on people,i love this guy but i can t take him serious with the arc teryx on
46,the king has returned,so don t give a shit or control her i m confused,don t forget the story of lilith as well adam s original eve,why not use giant nets at different positions to prevent the fish from going through and the nets can be used like a opening bridge of sorts when a boat needs to go by doesn t this electrocution thing seem like an overkill,so if i pay the bill i get to peg you that s their logic
47,stop watching them,not giving a shit is controlling her,dude talk about the exxon exposed story that s the real news,to say it s america im surprised they haven t got snipers watching the river,mathew hussey is actually a feminist that clip kinda taken out of context he gives good dating advice to women
48,don t let the yt police catch u again,it seems like the more i treat my ex bad the more she come back i never understand that,hey man i love your work we have the same personalities types very interesting love the way you articulate spread great knowledge and wisdom,where can i find this electric water,the tom and jerry stuff had me cracking up
49,we was screamin free you till its baccwardzz,shawty loves toxic men so they have something to post of social media thats why i scare off some women becuz im laid back drama free and focusing on my business that help me weed out the bad ones,i think we as humans need to have some sort of toughness in us regardless if you are male or a female or transgender or whatever gender you are we need to take pride in what we do and always want to improve and build discipline,ya no terrorist thanks just a idea to give people in recreational waters,i agree that a lot of men are toxic and the mano sphere is a problem that being said if this many men are agreeing with sentiments like women don t care about your problems or you will be emotionally punished by women for being vulnerable maybe that s something we should actually address it just seems strange how hesitant we are to entertain the idea that misandry by women in certain areas maybe are also part of patriarchy
50,where s your rumble,304s are backwards lol shit i started laughing after i connected a few dots,1950 s america is what it should be that s my opinion women are masculine now and men feminine look at the low cut shorts and skinny jeans that are trendy for men absolutely feminine look at women acting like hyenas and pit bulls,grew up in the peoria area we would get jet skis and john boats and shoot the carp with shotguns when they jumped out of the water good fun,noah also gets wrong about the second clip because its not about not expressing you feelings as a man you can but not in ways where the woman would percieve you as a red flag theres a limit one should try to make a first date as fun and positive as possible
51,plug the rumble dawg,i heard that girl told me all she wants is good sex multiple orgasms not acted on it though on mgtow vibes at the moment,men are under attack take a ship for example that is crashed on a deserted island all traditional gender roles will naturally appear again,u can t close it off temporarily,17 30 i find it hilarious that he talks this bs over a christian song
52,glad you out bro,a 304 is a hoe for those who struggling with that lol,youtube has a very close to 50 50 gender split which is easy to simply google,this was so interesting thanks,how dare you clock portlandia so accurately sincerely a former portland oregonian
53,let s get back to it sneako,dang man this is so crazily true,this video is not loading are there some blue haired staffers at youtube messing with content they do not approve of,so anyone can just release two carps in the great lake and kill the industry,you know tom and jerry are best friends my closest friends try to murder mutilate and displace me from my home all the time man what rascals they are
54,my brother please then i hope you will interact with surat al rahman by sheikh nasser al qatami 2017,i love the red doorag,two smart respectful men,bro i know my phone is listening we randomly talked about this is my english class lecture,objectively correct answer to the paying for dates question whoever asked the other out on a date should pay the end that s it you psychopaths
55,nick is still trying to ban your channel over a joke,don t know how i stumbled upon this but let me tell anyone watching this and listening to this you will never understand a woman women who like toxic men have been abused by their fathers and look for validation from people who either abuse them or ignore them like their fathers stop feeling pity for urself because you can t get the 10 you want and stop obsessing over these kinds of videos first of all be clean kind and have a good personality you can get a clean kind and good woman then trust me when i say this ur not an alpha male if you even have the word alpha male in ur vocabulary,bruh your message is reaching the masses masculinity is now a currency you can see it every day,this is just crazy,relationship are founded and based on trust not insecurities but i would love to hear why the alpha chad male who spit fact argue why my take is bad
56,welcome back g,brah you only 22 thought you was bout 26,russell i love you like a older brother although the man bun looks stupid,electricity resistant carp will make it through,that maplestory background music lol
57,yesss hell yeah bro keep em coming,she a simp for me but i ain t simp for her bih loves me bruh,so he can talk about the devouring mother and the good feminine archetype but he pushes back on people talking about toxic masculinity,what if i catch some carp and release it into the lakes unless you pay me one million dollars,okay i hate it when people act like women don t have it easier when it comes to sex or getting into a relationship i mean i hate alpha males they re dumb but women always have it easier when it comes to getting into relationships and having sex who basically who they want to if a woman sees someone they find attractive at a bar she is more then likely going to be able to go home with them rather then a man finding someone attractive and going home with her i don t care if a woman wants to be with 1000 men in one night but she more then a man will be able to do that
58,welcome home,thats how it should be bro,these men don t seem masculine to me and that s great it s just the same reason we don t trust a thin chef we don t trust skinny weak effeminate emotional whiners like peterson and brand these are people easily outmanned by anything their own perception of masculinity is off to begin with believe it if you must but strong people don t need it to handle you,over fishing is a big problem in other places can t you just over fish the carp,some of the criticism against women that red pill men talk about is valid women do cheat lie and abuse men when men come together to warn other men of these horrible women to avoid how are they now incels implying that any time a man criticizes a woman he s automatically a incel does not lead to any positive outcomes abusive women deserve to be called out for their horrible behavior and not praised for it
59,youtube is going to eventually get canceled,it be like that,it sounds like they struck a nerve everything ok bro,all this effort goes toward a stupid fish but the border is wide open electrify that,my wife made us dinner tonight i did the dishes does that mean she s going to leave me because she didn t submiiiiiit to me
60,welcome back king lol,everything that you said in this video describes my last relationship smh i was such a bitch and it makes me so mad,it s sad that peterson cannot simply answer any questions otherwise people could easily twist his words on himself we are moving away from true conversations by complicating it and coming up with more words we cannot have a simple language cause there is to much truth in it and everyone is lying so here comes more complex words,as usual this solution along with other deterants that the so called experts come up with did not work either because they were implemented to late or not thought out properly we are finding these carp in the great lakes your corps of engineers have failed again if the truth be known the asian carp is producing a form of income for a lot of americans and that is more important a lot of talk as usual make it sound like your are doing everything that can be done and fooling everyone once again,he literally debunked nothing
61,bro it s crazy that your 23 and i m 22 bro you make me wanna get started on youtube and just start sun sorta content bro keep up the work bro if you get canceled trust me the viewers will fight,when i was about your age steph i had a coworker say she just wanted me for a digging stick idk if that will ever happen again lol,it could be that young men are coming to youtube precisely to find people like jordan peterson,me on my way to take 15 fish with me to the grand lakes,i just smoke weed to deal with the crippling loneliness xd
62,this fuckin sucked,to all the guys watching have fun with women but be careful on which one y all choose too start a family with,or any other source of good information since for many the father figure might be missing at home if masculinity and mastery are subjects of interest to you i invite you to explore the videos shared on the mastery order channel to challenge yourself with some ideas about manhood and to become the kind of man you would admire we can only better ourselves together as men among men so i invite you to use what i share and of course give your own opinions so that others can benefit from them as well looking forward to your points of view all the best to you,hey i live there,you think these guys would still think their if i m paying for the date you owe me sex theory is still valid if they were out with their dude friend and he s like aye man drinks for everyone my treat and then immediately started unzipping their pants like oh well i m paying for drinks so you have to suck my cock what you thought i d just buy you a drink to be nice like why is it so hard to imagine that an interaction with a woman could be non transactional or for anything other than sex when that s how all their male friendships already work
63,honestly at this point youre building a like minded community fucking awesome,wellllllll i had a woman tell me she wanted to have fun and get fuck then talking about omg i can t believe i said that i took full advantage of it,two of my favourite people,seems kind of inevitable that carp will end up in the great lakes eventually,the grown men realm sounds so much worse than the shadow realm and the phantom zone
64,why are microwaves bad,check out the story of sampson from the bible,female to male ratio on youtube is 54 to 46,survival of the fittest carps win humans need to stop messing around with nature,this is literally what happens when you don t punish the class bully for several millenia
65,keep doing what you doing my g masculinity is facing extinction and it s our duty to school shit people about it with all the tools we have,ey steph they always been that way from the beginning good stuff man,kathryn nails it in a one line comment below j peterson is a bit of a sullen guide to the weak men kathryn mentions,thanks yet again greatest generation,that wall is whiter than me
66,according to current research soy has neither a positive nor a negative effect on testosterone levels the estrogen level also remains unaffected,to the thing that they dew,you look like a woman with a beard and you act gay so,i can t imagine the energy needed to operate this,noah in the arcy
67,because being a man is too hard that s why all they bi es want to switch their genders lol,this is amazing life saving content i m 40 found the red pill at 38 wish i had this advice when i was 16 but at least i can share this with my son also got your patreon,there is a spectrum of masculine feminine traits in both sexes it is enforcing certain characteristics on each that creates inner conflict maternal overprotection is no worse than disinterest or abuse peterson should know that gender change is a result of the need to conform to stereotypes over 90 of male gender reassignments the most common are performed on those who worked in highly masculine jobs as a disguise if the world stopped trying to homogenise gender expectation it would probably cease to be an issue when female movie stars began wearing trousers there was little reaction it is now unquestioned if a man wears a dress it is an abnormal expression of masculinity this shows a huge disparity of gender freedom both masculine feminine traits which have an overlap can be toxic that is the desire to assert yourself over another all of these issues are all bound up in the dogma of religion you should be what we tell you to be has spread into various forms of indoctrination religion remains an integral part of our society it has served humanity badly on every level,please stop saying carps its asian carps common carp have nothing to do with this,what is the red pill
68,ayeeeee idk who those people even are but i know who you are from tik tok and i m glad i found your youtube,yo steph next time you go live bro ima call in got some good questions bro,i m saying this everywhere but just wanted to let you know jordan petersons name is inside a sexual trafficking book i m not sure if it s this peterson but it talks about a peterson in his younger years it s written by a canadian woman so unless there s other jordan petersons then it might not be him but there s a chance it might be him page 60 titled victim a feminist manifesto of a fierce survivor good luck if it s peterson everyone s talking about in this world y all are glorifying a contributor to sexual trafficking,us army corp of engineers,honestly if your gf wont submit to you dont be her bf i could get like if you have hard rules have them no problem with that hope u find someone who likes that too then he whips out no male friends i was thinking more along the lines of i wanna top in bed lmaoooo
69,10 48 sneako bugging,it s funny getting them on camera that s not me it s my twin lol if i get cheated on and i stay that s danger bitch,jordan peterson is a very common name so idk,they couldn t figure out a lake or a river but we re gonna stop or slow global warming,i m empathetic and caring but in like a hot and sexy villainous kind of way good job noah you just described every woman s true ideal man
